"","year","area","variable","Agua","Emisiones GEI","Emisiones de CO₂","Energía","Materiales","Nitrógeno","Tierras de cultivo","PIB","Población","IDH-A","IDH"
"89",1948,"España","Absoluto",4180610135.13188,60220474.3247585,31561696,20169608.4301568,111139221.736612,235706037.799026,20217118.0754025,95314010212.3416,27437000,NA,NA
"90",1949,"España","Absoluto",3877947551.43987,61262927.2322393,34643235,20481161.0058459,109123631.763612,243536011.749808,20400114.786455,94862402254.7453,27651000,NA,NA
"91",1950,"España","Absoluto",4731533516.36724,57734042.8753508,31788725,21618745.0527202,112484884.99092,299898141.191165,20810195.264186,97082143790.0833,28062963,NA,NA
"92",1951,"España","Absoluto",3678887996.87875,57308415.1257196,31759401,22321222.0032173,124289987.875098,300633367.480047,21124967.4445951,107135115239.232,28298010,NA,NA
"93",1952,"España","Absoluto",4190143045.25068,60593679.9525812,36138032,23384595.5140041,127923113.444403,348184265.92025,21419637.9448526,117037314996.924,28549870,NA,NA
"94",1953,"España","Absoluto",4969499280.64783,64074081.095713,37321351,24191318.1536771,121426467.362233,331406775.971929,21432458.7504821,116997106942.126,28804128,NA,NA
"95",1954,"España","Absoluto",4591359452.09987,59472730.6576794,37841617,24581619.299098,127959100.333152,359986645.746867,21348399.7008862,125599462784.689,29060413,NA,NA
"96",1955,"España","Absoluto",5238152647.76925,61550898.2337361,38131248,25109338.6686594,125509520.052591,411301869.085341,21345521.7464088,130079586340.541,29318745,NA,NA
"97",1956,"España","Absoluto",4282293421.42133,59681656.6024381,39996224,26826475.0064003,131088746.993624,413310184.310499,21429436.845218,140913926315.573,29579142,NA,NA
"98",1957,"España","Absoluto",4628701494.68501,71029197.3291623,47756576,28467634.5590878,138258042.772429,397597830.496961,21406397.9722494,146029608846.625,29841614,NA,NA
"99",1958,"España","Absoluto",5658075590.17052,74492117.7542192,53241584,29125458.5093227,144902983.873049,473946582.797605,21394150.4157787,155616208942.039,30106188,NA,NA
"100",1959,"España","Absoluto",4390619080.49343,71960645.0376137,49247824,29036003.8173727,145729676.934001,504672418.946788,21335368.8439901,154272952257.695,30372877,NA,NA
"101",1960,"España","Absoluto",5155658036.81116,64981787.5438227,46030832,29245447.8527548,141939486.880053,494538833.261901,21265074.6161242,154173172528.912,30641187,NA,NA
"102",1961,"España","Absoluto",6489934899.68834,67796547.9531139,50332142,30308016.9252278,152188467.175242,561061407.674746,21644681.0477497,172488154935.454,30903894,NA,NA
"103",1962,"España","Absoluto",6295543338.26577,74543339.8520132,56370640,31992158.7890718,157639683.004451,602417601.090109,21838300.1040337,189313560546.253,31158061,NA,NA
"104",1963,"España","Absoluto",5516759747.20185,70117461.6942035,54912368,33026641.5389265,165068084.042981,604614146.392568,21635400.4247507,208429229014.181,31429834,NA,NA
"105",1964,"España","Absoluto",7341318633.95572,75891998.2511791,60122576,34560594.2312992,162794573.675463,643732712.344351,21626388.469718,220233712096.951,31740862,NA,NA
"106",1965,"España","Absoluto",7406719891.86587,86466837.5463374,66230464,35930694.677072,174804430.807563,659696672.104909,21577220.2659271,237809907300.237,32084511,NA,NA
"107",1966,"España","Absoluto",6926000260.10302,87348291.0321265,71649520,39341809.79707,188602214.99602,670591886.482881,21222711.856589,255489511025.202,32451975,NA,NA
"108",1967,"España","Absoluto",7208937947.02371,96204691.8884165,79735968,40611849.5634801,193313683.56594,724539779.080677,21052603.3437386,269604650119.474,32850275,NA,NA
"109",1968,"España","Absoluto",6839636439.81571,106611422.164449,89624823,44600583.7768708,209112519.036592,798577132.967958,21038179.9364556,285820804062.715,33239301,NA,NA
"110",1969,"España","Absoluto",6263981798.63285,108932225.259504,88672772,46674234.4308339,225798066.443534,874631045.722038,21109963.7729707,312133370200.406,33566084,NA,NA
"111",1970,"España","Absoluto",8704009788.4983,123409992.885669,108513285,49303196.4923761,238152561.970488,910670864.71375,21491237.1098311,321926143643.165,33876479,NA,NA
"112",1971,"España","Absoluto",6331348253.27719,139738013.932341,120025312,53831265.0457164,254698052.607468,919735217.420389,21232436.7914444,338048128043.41,34195056,NA,NA
"113",1972,"España","Absoluto",6548723083.91119,156498671.630733,135154215,56003058.481022,268541754.481534,969482136.166665,21312592.7822817,372317373799.822,34513161,NA,NA
"114",1973,"España","Absoluto",8421362792.5545,161041789.92202,144094128,61587790.9186462,288918041.870896,1024843108.01522,21160018.0961388,405140616584.891,34836716,NA,NA
